word	translation	key
κάπου	где-то
όπου	где
πουθενά	нигде
αλλού	в другом месте
εδώ	здесь
εκεί	там
παντού	везде
αυτού	в этом месте
πάνω	наверху
κάτω	внизу
μέσα	внутри
έξω	снаружи
μπρος	впереди
πίσω	сзади
αριστερά	налево
δεξιά	направо
ψηλά	высоко
χαμηλά	низко
δίπλα	рядом
κοντά	близко
μακριά	далеко
γύρω	вокруг
απέναντι	напротив
πέρα	дальше
μεταξύ	между
ανάμεσα	между
ανατολικά	к востоку
βόρεια	к северу
νότια	к югу
ποτέ	никогда
κάποτε	когда-то
κάπου κάπου	иногда
τότε	тогда
τώρα	сейчас
πότε πότε	иногда
αμέσως	немедленно
μόλις	только, едва
έγκαιρα	вовремя
άκαιρα	не вовремя
νωρίς	рано
αργά	поздно
γρήγορα	быстро
χτες	вчера
προχτές	позавчера
σήμερα	сегодня
εψές	вчера
απόψε	сегодня вечером
ακόμη	еще
πάλι	опять
ξανά	опять
συχνά	часто
συνήθως	обычно
ύστερα	потом, затем
έπειτα	потом, затем
πριν	прежде
πρώτα	сначала
μετά	после,
αύριο -завтра	
μεθαύριο	послезавтра
πέρσι/πέρυσι	в прошлом году
πρόπερσι	в позапрошлом году
φέτος	в этом году
του χρόνου	в следующем году
το βράδυ	вечером
το πρωί	утром
πάντοτε	всегда
κάπως	как-то
δυνατά	сильно, громко
αλλιώς	иначе
έτσι	так
όπως	как
καθώς	когда
επίσης	так же
καλά	хорошо
ξαφνικά	неожиданно
μανιωδώς	маниакально
επιμελώς	прилежно
απαίσια	ужасно
άδικα	несправедливо
αλλιώτικα	по-другому
εντελώς	совершенно
ελληνικά	по-гречески
διαρκώς	продолжительно
λεπτομερώς	подробно
ακριβώς	точно
συνεχώς	непрерывно
κακά	плохо
επιεικώς	снисходительно
σιγά	медленно, тихо
ίσια	ровно
ωραία	прекрасно
άσχημα	плохо
χωριστά	отдельно
μονάχα	одиноко
