word	translation	key
ο	the (м.р. ед.ч.)	ο
η	the (ж.р. ед.ч.)	η
το	the (ср.р. ед.ч.)	το
και	и	και
σε	в, на, к	σε
είμαι	быть	είμαι
έχω	иметь	έχω
όχι	нет	όχι
ναι	да	ναι
εγώ	я	εγώ
εσύ	ты	εσύ
αυτός	он	αυτός
αυτή	она	αυτή
αυτό	оно	αυτό
εμείς	мы	εμείς
εσείς	вы	εσείς
αυτοί	они (м.р.)	αυτοί
αυτές	они (ж.р.)	αυτές
αυτά	они (ср.р.)	αυτά
είναι	является	είναι
θέλω	хотеть	θέλω
μπορώ	мочь	μπορώ
κάνω	делать	κάνω
λέω	сказать	λέω
πάω	идти	πάω
ξέρω	знать	ξέρω
βλέπω	видеть	βλέπω
έρχομαι	приходить	έρχομαι
παίρνω	брать	παίρνω
δίνω	давать	δίνω
καταλαβαίνω	понимать	καταλαβαίνω
αγαπώ	любить	αγαπάω
δουλεύω	работать	δουλεύω
παίζω	играть	παίζω
μαθαίνω	учить, учиться	μαθαίνω
τρώω	есть	τρώω
πίνω	пить	πίνω
πηγαίνω	идти, ехать	πηγαίνω
μένω	жить, оставаться	μένω
γράφω	писать	γράφω
διαβάζω	читать	διαβάζω
μιλάω	говорить	μιλάω
ακούω	слышать, слушать	ακούω
βρίσκω	находить	βρίσκω
κλείνω	закрывать	κλείνω
ανοίγω	открывать	ανοίγω
κοιτάζω	смотреть	κοιτάζω
προσπαθώ	пытаться	προσπαθώ
περιμένω	ждать	περιμένω
φοβάμαι	бояться	φοβάμαι
ξεκινάω	начинать	ξεκινάω
τελειώνω	заканчивать	τελειώνω
μαγειρεύω	готовить	μαγειρεύω
φτιάχνω	делать, создавать	φτιάχνω
συνεχίζω	продолжать	συνεχίζω
πρέπει	нужно	πρέπει
έχω ανάγκη	нуждаться	έχω ανάγκη
επιθυμώ	желать	επιθυμώ
γεννιέμαι	рождаться	γεννιέμαι
μεγαλώνω	расти	μεγαλώνω
κλαίω	плакать	κλαίω
γελάω	смеяться	γελάω
παρακολουθώ	наблюдать	παρακολουθώ
χρειάζομαι	нуждаться	χρειάζομαι
συμφωνώ	соглашаться	συμφωνώ
εξηγώ	объяснять	εξηγώ
συναντάω	встречать	συναντάω
δημιουργώ	создавать	δημιουργώ
ακολουθώ	следовать	ακολουθώ
θυμάμαι	помнить	θυμάμαι
ξεχνάω	забывать	ξεχνάω
στέλνω	отправлять	στέλνω
φέρνω	приносить	φέρνω
σημαίνει	означать	σημαίνει
αγοράζω	покупать	αγοράζω
πουλάω	продавать	πουλάω
προτιμώ	предпочитать	προτιμώ
παρουσιάζω	представлять	παρουσιάζω
ψάχνω	искать	ψάχνω
επιστρέφω	возвращаться	επιστρέφω
κινώ	двигаться	κινώ
απαιτώ	требовать	απαιτώ
περιγράφω	описывать	περιγράφω
γιορτάζω	праздновать	γιορτάζω
σηκώνω	поднимать	σηκώνω
κατεβάζω	опускать	κατεβάζω
δείχνω	показывать	δείχνω
θυμίζω	напоминать	θυμίζω
χαλαρώνω	расслабляться	χαλαρώνω
ταξιδεύω	путешествовать	ταξιδεύω
εξετάζω	исследовать	εξετάζω
ξυπνάω	просыпаться	ξυπνάω
κοιμάμαι	спать	κοιμάμαι
ζω	жить	ζω
πεθαίνω	умирать	πεθαίνω
ξεκουράζομαι	отдыхать	ξεκουράζομαι
κουράζομαι	уставать	κουράζομαι
κάνω μπάνιο	купаться	κάνω μπάνιο
βοηθώ	помогать	βοηθώ
