word	translation	key
Εγώ αγαπώ	я люблю	αγαπάω
Εσύ αγαπάς	ты любишь	αγαπάω
Αυτός/Αυτή/Αυτό αγαπάει	он/она/оно любит	αγαπάω
Εμείς αγαπάμε	мы любим	αγαπάω
Εσείς αγαπάτε	вы любите	αγαπάω
Αυτοί/Αυτές/Αυτά αγαπάνε	они любят	αγαπάω
Εγώ μαθαίνω	я учу	μαθαίνω
Εσύ μαθαίνεις	ты учишь	μαθαίνω
Αυτός/Αυτή/Αυτό μαθαίνει	он/она/оно учит	μαθαίνω
Εμείς μαθαίνουμε	мы учим	μαθαίνω
Εσείς μαθαίνετε	вы учите	μαθαίνω
Αυτοί/Αυτές/Αυτά μαθαίνουν	они учат	μαθαίνω
Εγώ δουλεύω	я работаю	δουλεύω
Εσύ δουλεύεις	ты работаешь	δουλεύω
Αυτός/Αυτή/Αυτό δουλεύει	он/она/оно работает	δουλεύω
Εμείς δουλεύουμε	мы работаем	δουλεύω
Εσείς δουλεύετε	вы работаете	δουλεύω
Αυτοί/Αυτές/Αυτά δουλεύουν	они работают	δουλεύω
Εγώ βλέπω	я вижу	βλέπω
Εσύ βλέπεις	ты видишь	βλέπω
Αυτός/Αυτή/Αυτό βλέπει	он/она/оно видит	βλέπω
Εμείς βλέπουμε	мы видим	βλέπω
Εσείς βλέπετε	вы видите	βλέπω
Αυτοί/Αυτές/Αυτά βλέπουν	они видят	βλέπω
